Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2010,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2010,Feb. 2010,Mar. 2010,Apr. 2010,May 2010,Jun. 2010,Jul. 2010,Aug. 2010,Sep. 2010,Oct. 2010,Nov. 2010,Dec. 2010,TOTAL,,
45112," Hobby, toy, and game stores",953,"1,000","1,155","1,059","1,030","1,024","1,070","1,039","1,074","1,254","1,990","3,064","15,712",,
451211,Book stores,"2,146",946,946,856,"1,013","1,018","1,001","2,128","1,397",903,976,"1,876","15,206",,
452,General merchandise stores,"43,878","44,783","48,675","47,783","50,509","48,322","48,650","49,348","45,712","49,074","55,633","71,843","604,210",,
4521,Department stores (excl.L.D),"12,314","12,837","14,653","14,206","14,945","14,295","13,976","14,732","13,545","14,412","18,449","26,698","185,062",,
452112,Discount dept. stores,"8,385","8,417","9,758","9,027","9,785","9,411","9,298","9,778","8,694","9,351","11,804","16,100","119,808",,
452111,Department stores(excl. discount department stores),"3,929","4,420","4,895","5,179","5,160","4,884","4,678","4,954","4,851","5,061","6,645","10,598","65,254",,
4521,Department stores (incl. L.D.)(2),"12,518","13,050","14,889","14,447","15,193","14,530","14,212","14,974","13,766","14,651","18,762","27,111","188,103",,
452112,Discount dept. stores,"8,496","8,528","9,889","9,150","9,918","9,540","9,429","9,913","8,813","9,482","11,966","16,312","121,436",,
452111,Department stores(excl. discount department stores),"4,022","4,522","5,000","5,297","5,275","4,990","4,783","5,061","4,953","5,169","6,796","10,799","66,667",,
4529,Other general merchandise stores,"31,564","31,946","34,022","33,577","35,564","34,027","34,674","34,616","32,167","34,662","37,184","45,145","419,148",,
45291,Warehouse clubs and supercenters,"28,174","28,262","29,857","29,354","31,275","29,838","30,560","30,579","28,170","30,377","32,467","39,137","368,050",,
45299,All other gen. merchandise stores,"3,390","3,684","4,165","4,223","4,289","4,189","4,114","4,037","3,997","4,285","4,717","6,008","51,098",,
453,Miscellaneous store retailers,"7,247","7,366","8,463","8,248","9,058","9,246","8,746","8,792","8,802","9,166","8,750","10,415","104,299",,
4532,"Office supplies, stationery, and gift stores","2,634","2,529","2,694","2,561","2,671","2,631","2,667","3,098","2,901","3,016","2,954","3,919","34,275",,
45321,Office supplies and stationery stores,"1,740","1,551","1,629","1,481","1,412","1,394","1,419","1,887","1,689","1,449","1,463","1,676","18,790",,
45322,"Gift, novelty, and souvenir stores",894,978,"1,065","1,080","1,259","1,237","1,248","1,211","1,212","1,567","1,491","2,243","15,485",,
4533,Used merchandise stores,826,872,"1,018",969,"1,003",887,982,978,979,"1,106","1,018","1,220","11,858",,
454,Nonstore retailers,"27,438","25,772","28,749","26,451","25,473","26,746","25,161","27,153","27,198","27,541","31,863","41,357","340,902",,
4541,Electronic shopping and mail-order houses,"19,528","18,383","21,585","20,342","19,976","20,979","19,828","21,550","21,276","21,337","25,220","32,908","262,912",,
45431,Fuel dealers,"4,839","4,195","3,328","2,454","2,070","2,017","1,877","1,982","2,256","2,674","3,248","4,841","35,781",,
722,Food services and drinking places,"35,553","35,401","39,424","39,442","40,838","39,471","41,075","40,358","38,407","40,196","37,487","39,824","467,476",,
7221,Full service restaurants,"15,514","15,227","17,117","16,999","17,642","16,733","17,565","17,000","15,725","16,582","15,571","17,233","198,908",,
7222, Limited service eating places,"15,471","15,343","17,085","16,839","17,552","17,414","18,074","17,917","16,570","17,566","16,495","17,151","203,477",,
7224,Drinking places (alcoholic beverages),"1,547","1,575","1,739","1,660","1,692","1,683","1,790","1,749","1,676","1,756","1,650","1,719","20,236",,
,ADJUSTED(3),,,,,,,,,,,,,,,
," Retail and food services sales, total","346,762","347,120","354,704","356,822","354,657","354,267","354,761","356,952","359,819","364,465","367,024","369,560",,,
, Retail sales and food services excl motor vehicle and parts ,"289,510","291,306","293,825","295,397","292,827","292,844","292,012","294,564","296,476","299,271","301,977","304,228",,,
,"Retail sales, total","309,140","308,807","316,242","318,115","315,985","315,379","315,716","317,501","320,346","324,941","327,271","329,974",,,
,"Retail sales, total (excl. motor vehicle and parts dealers)","251,888","252,993","255,363","256,690","254,155","253,956","252,967","255,113","257,003","259,747","262,224","264,642",,,
,GAFO(1),"91,922","92,623","93,025","92,909","92,375","92,417","92,218","92,716","92,737","93,119","94,702","93,844",,,
441,Motor vehicle and parts dealers,"57,252","55,814","60,879","61,425","61,830","61,423","62,749","62,388","63,343","65,194","65,047","65,332",,,
"4411,4412",Automobile and other motor vehicle dealers,"51,101","49,572","54,523","54,936","55,374","54,959","56,262","55,723","56,684","58,494","58,318","58,532",,,
4413,"Automotive parts, acc., and tire stores","6,151","6,242","6,356","6,489","6,456","6,464","6,487","6,665","6,659","6,700","6,729","6,800",,,
"442,443","Furniture, home furn, electronics, and appliance stores","15,073","15,435","15,250","15,282","15,309","15,376","15,261","15,258","15,366","15,216","15,129","15,207",,,
442,Furniture and home furnishings stores,"7,033","7,155","7,254","7,161","7,130","7,074","7,104","7,154","7,115","7,061","7,108","7,071",,,
443,Electronics and appliance stores,"8,040","8,280","7,996","8,121","8,179","8,302","8,157","8,104","8,251","8,155","8,021","8,136",,,
44312, Computer and software stores,"1,774","1,791","1,752","1,864","1,897","1,994","2,002","2,100","2,068","2,050","1,926","1,983",,,
444,Building mat. and garden equip. and supplies dealers,"20,579","20,481","21,833","23,450","21,725","21,587","21,480","21,256","21,449","22,114","21,884","22,228",,,
4441,Building mat. and supplies dealers,"17,862","17,763","19,164","20,031","19,052","18,845","18,614","18,414","18,548","18,877","18,905","19,337",,,
445,Food and beverage stores,"47,943","48,780","48,397","48,152","48,281","48,089","47,821","48,538","48,634","48,797","49,242","49,233",,,
4451,Grocery stores,"43,060","43,769","43,379","43,088","43,301","43,087","42,885","43,474","43,559","43,674","44,133","44,243",,,
4453,"Beer, wine and liquor stores","3,412","3,477","3,478","3,501","3,446","3,466","3,407","3,509","3,501","3,536","3,520","3,435",,,
446,Health and personal care stores,"21,107","21,276","21,420","21,573","21,438","21,723","21,797","21,931","22,026","22,155","22,318","22,393",,,
44611,Pharmacies and drug stores,"18,111","18,115","18,268","18,325","18,281","18,579","18,544","18,610","18,668","18,764","18,934","18,996",,,
447,Gasoline stations,"37,360","37,038","37,132","37,155","36,650","35,849","35,799","36,252","37,376","38,567","39,270","41,132",,,
448,Clothing and clothing access. stores,"17,326","17,335","17,825","17,704","17,607","17,487","17,519","17,672","17,612","17,976","18,477","18,115",,,
4481,Clothing stores,"12,845","12,829","13,216","13,170","13,090","13,010","12,966","13,102","13,131","13,242","13,680","13,463",,,
44811, Men's clothing stores(4),612,622,643,633,628,622,615,607,616,641,658,657,,,
44812,Women's clothing stores,"3,138","3,100","3,250","3,226","3,192","3,198","3,197","3,244","3,267","3,319","3,344","3,320",,,
4482,Shoe stores,"2,213","2,238","2,298","2,260","2,249","2,249","2,243","2,290","2,268","2,326","2,343","2,330",,,
44831,Jewelry stores,"2,126","2,126","2,165","2,135","2,126","2,078","2,159","2,127","2,054","2,239","2,277","2,147",,,
451,"Sporting goods, hobby, book, and music stores","6,740","6,579","6,650","6,610","6,638","6,686","6,658","6,697","6,649","6,655","6,787","6,751",,,
452,General merchandise stores,"49,937","50,476","50,426","50,438","49,989","50,016","49,978","50,293","50,245","50,401","51,359","50,924",,,
4521,Department stores (excl. L.D.),"15,583","15,498","15,802","15,561","15,386","15,404","15,259","15,301","15,199","15,193","15,739","15,298",,,
4529,Other general merchandise stores,"34,354","34,978","34,624","34,877","34,603","34,612","34,719","34,992","35,046","35,208","35,620","35,626",,,
45291,Warehouse clubs and supercenters,"30,230","30,820","30,404","30,577","30,394","30,385","30,469","30,702","30,753","30,871","31,248","31,285",,,
45299,All other gen. merchandise stores,"4,124","4,158","4,220","4,300","4,209","4,227","4,250","4,290","4,293","4,337","4,372","4,341",,,
453,Miscellaneous stores retailers,"8,358","8,229","8,676","8,608","8,683","8,791","8,613","8,599","8,817","8,950","8,891","8,903",,,
454,Nonstore retailers,"27,465","27,364","27,754","27,718","27,835","28,352","28,041","28,617","28,829","28,916","28,867","29,756",,,
4541,Electronic shopping and mail order houses,"20,886","20,819","21,414","21,368","21,480","21,876","21,694","22,148","22,302","22,484","22,438","22,853",,,
45431,Fuel dealers,"3,057","3,035","2,755","2,770","2,911","2,932","2,874","2,877","2,961","2,951","3,024","3,369",,,
722,Food services and drinking places,"37,622","38,313","38,462","38,707","38,672","38,888","39,045","39,451","39,473","39,524","39,753","39,586",,,
,,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,,
(2) Includes data for leased departments operated within department stores.  Data for this line not included in any aggregate kind-of-business totals.,,,,,,,,,,,,,,,,
"(3) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,,
"(4) With the recent Annual Revision of Monthly Retail and Food Services published on April 30, 2014, we are reinstating the previously suppressed seasonally adjusted estimates of sales ",,,,,,,,,,,,,,,,
for NAICS 44811 (Men_s Clothing) from January 2001 forward. ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown. ,,,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html. ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
