Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2006,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 2006,Feb. 2006,Mar. 2006,Apr. 2006,May 2006,Jun. 2006,Jul. 2006,Aug. 2006,Sep. 2006,Oct. 2006,Nov. 2006,Dec. 2006,TOTAL
443,Electronics and appliance stores,"8,384","7,854","8,253","7,408","8,022","8,154","8,099","8,676","8,025","7,746","10,007","14,849","105,477"
44311,"Appl.,TV, and other elect. stores","6,549","6,148","6,300","5,664","6,236","6,314","6,340","6,677","6,216","6,011","7,818","11,622","81,895"
443111,Household appliance stores,"1,325","1,298","1,457","1,363","1,471","1,503","1,518","1,569","1,482","1,464","1,594","1,701","17,745"
443112," Radio, T.V., and other elect. stores","5,224","4,850","4,843","4,301","4,765","4,811","4,822","5,108","4,734","4,547","6,224","9,921","64,150"
44312, Computer and software stores,"1,571","1,450","1,667","1,451","1,460","1,504","1,456","1,696","1,520","1,461","1,859","2,666","19,761"
444,Building mat. and garden equip. and supplies dealers,"23,330","22,823","29,657","31,112","34,154","31,748","28,225","29,303","26,467","27,821","25,932","23,558","334,130"
4441,Building mat. and supplies dealers,"21,699","21,119","26,691","26,428","29,070","27,883","25,437","26,886","24,150","25,298","23,414","21,307","299,382"
44412,Paint and wallpaper stores,744,716,895,847,982,985,918,998,884,900,795,668,"10,332"
44413, Hardware stores,"1,343","1,279","1,554","1,755","2,004","1,877","1,752","1,726","1,598","1,654","1,691","1,750","19,983"
445,Food and beverage stores,"41,168","39,281","42,901","42,455","44,850","44,052","44,899","44,784","43,148","43,709","44,640","49,345","525,232"
4451,Grocery stores,"37,489","35,506","38,827","38,269","40,341","39,569","40,357","40,340","38,766","39,322","39,989","42,924","471,699"
44511,Supermarkets and other grocery (except convenience) stores,"35,773","33,851","36,978","36,338","38,267","37,510","38,247","38,231","36,817","37,407","38,171","41,102","448,692"
4453,"Beer, wine, and liquor stores","2,424","2,519","2,753","2,791","3,017","3,055","3,117","3,024","2,997","2,913","3,137","4,269","36,016"
446,Health and personal care stores,"17,892","17,218","19,024","17,763","19,038","18,454","18,006","18,813","18,100","18,892","18,890","21,246","223,336"
44611,Pharmacies and drug stores,"15,257","14,681","16,174","15,225","16,271","15,720","15,426","16,092","15,483","16,382","16,252","18,055","191,018"
447,Gasoline stations,"30,800","29,253","33,887","36,002","39,016","39,126","40,585","41,051","34,830","33,208","31,556","32,662","421,976"
448,Clothing and clothing access. stores,"12,893","14,474","16,386","16,848","17,103","16,505","16,275","17,832","16,767","17,253","19,391","31,462","213,189"
4481,Clothing stores,"9,489","9,824","12,148","12,495","12,204","12,178","12,107","12,948","12,435","12,964","14,375","21,379","154,546"
44811, Men's clothing stores,570,557,660,693,693,704,623,716,718,781,823,"1,306","8,844"
44812,Women's clothing stores,"2,518","2,518","3,194","3,379","3,340","3,183","2,923","2,960","3,164","3,197","3,414","5,019","38,809"
44814,Family clothing stores,"4,670","5,017","6,223","6,460","6,270","6,342","6,551","7,008","6,516","6,936","7,910","11,809","81,712"
44819,Other clothing stores,824,786,902,833,845,904,864,961,832,859,966,"1,466","11,042"
4482,Shoe stores,"1,724","1,919","2,133","2,342","2,178","2,055","2,103","2,645","2,174","2,157","2,214","3,038","26,682"
44831,Jewelry stores,"1,560","2,600","1,968","1,876","2,568","2,122","1,928","2,093","2,017","1,993","2,630","6,748","30,103"
451,"Sporting goods, hobby, book, and music stores","6,735","5,553","6,402","6,047","6,263","6,468","6,257","7,588","6,787","6,005","7,187","11,856","83,148"
45111, Sporting goods stores,"2,100","2,154","2,792","2,713","2,776","3,012","2,872","3,085","2,752","2,447","2,710","4,456","33,869"
45112," Hobby, toy, and game stores","1,063","1,022","1,117","1,094","1,040","1,048","1,070","1,043","1,086","1,205","1,933","3,299","16,020"
451211,Book stores,"2,225","1,101","1,092",987,"1,176","1,238","1,135","2,142","1,554","1,054","1,142","2,132","16,978"
452,General merchandise stores,"38,667","39,537","43,272","44,249","45,394","44,758","43,941","45,185","42,594","44,707","51,829","70,123","554,256"
4521,Department stores (excl.L.D),"14,033","14,800","16,490","16,811","17,005","16,706","16,025","16,997","15,781","16,675","21,167","30,665","213,155"
452112,Discount dept. stores,"8,985","9,083","10,284","10,617","10,568","10,648","10,331","10,761","9,863","10,517","13,185","18,016","132,858"
452111,Department stores(excl. discount department stores),"5,048","5,717","6,206","6,194","6,437","6,058","5,694","6,236","5,918","6,158","7,982","12,649","80,297"
4521,Department stores (incl. L.D.)(2),"14,351","15,151","16,881","17,219","17,418","17,106","16,399","17,394","16,138","17,058","21,667","31,350","218,132"
452112,Discount dept. stores,"9,152","9,257","10,488","10,839","10,784","10,863","10,530","10,974","10,059","10,740","13,462","18,322","135,470"
452111,Department stores(excl. discount department stores),"5,199","5,894","6,393","6,380","6,634","6,243","5,869","6,420","6,079","6,318","8,205","13,028","82,662"
4529,Other general merchandise stores,"24,634","24,737","26,782","27,438","28,389","28,052","27,916","28,188","26,813","28,032","30,662","39,458","341,101"
45291,Warehouse clubs and supercenters,"21,710","21,697","23,380","24,005","24,820","24,528","24,545","24,737","23,513","24,515","26,605","33,901","297,956"
45299,All other gen. merchandise stores,"2,924","3,040","3,402","3,433","3,569","3,524","3,371","3,451","3,300","3,517","4,057","5,557","43,145"
453,Miscellaneous store retailers,"8,671","8,550","9,088","8,735","10,156","9,624","8,970","9,663","9,242","9,512","9,621","11,862","113,694"
4532,"Office supplies, stationery, and gift stores","3,146","3,133","3,137","2,824","3,175","3,080","3,097","3,777","3,450","3,590","3,672","5,209","41,290"
45321,Office supplies and stationery stores,"2,156","1,870","1,936","1,599","1,735","1,650","1,614","2,285","2,031","1,793","1,875","2,244","22,788"
45322,"Gift, novelty, and souvenir stores",990,"1,263","1,201","1,225","1,440","1,430","1,483","1,492","1,419","1,797","1,797","2,965","18,502"
4533,Used merchandise stores,875,777,888,891,862,848,754,846,873,920,907,972,"10,413"
454,Nonstore retailers,"23,280","21,965","25,117","21,171","22,671","21,909","20,515","23,323","22,304","24,580","26,329","31,179","284,343"
4541,Electronic shopping and mail-order houses,"15,811","14,531","17,046","15,024","16,071","15,795","14,768","16,897","16,050","17,497","19,037","23,724","202,251"
45431,Fuel dealers,"3,861","3,828","3,797","2,523","2,432","2,294","2,131","2,497","2,382","2,945","3,179","3,611","35,480"
722,Food services and drinking places,"32,394","31,634","35,840","35,141","36,167","35,771","36,298","36,640","35,439","35,820","33,839","37,803","422,786"
7221,Full service restaurants,"14,514","14,020","15,680","15,287","15,737","15,651","15,940","16,064","15,414","15,480","14,939","17,365","186,091"
7222, Limited service eating places,"13,746","13,358","15,290","14,855","15,367","15,335","15,608","15,664","14,680","14,936","14,084","15,266","178,189"
7224,Drinking places (alcoholic beverages),"1,470","1,455","1,664","1,589","1,653","1,639","1,695","1,694","1,631","1,640","1,556","1,647","19,333"
,ADJUSTED(3),,,,,,,,,,,,,
," Retail and food services sales, total","357,816","354,422","356,258","357,631","356,160","357,524","359,806","360,280","358,682","358,531","359,213","364,625",
, Retail sales and food services excl motor vehicle and parts ,"280,810","280,612","281,486","282,672","282,436","282,355","283,163","285,489","283,808","283,229","283,229","288,736",
,"Retail sales, total","322,795","319,887","321,428","322,769","321,283","322,795","325,038","324,913","323,029","322,747","323,367","327,600",
,"Retail sales, total (excl. motor vehicle and parts dealers)","245,789","246,077","246,656","247,810","247,559","247,626","248,395","250,122","248,155","247,445","247,383","251,711",
,GAFO(1),"92,192","91,718","91,562","92,265","91,598","92,089","91,994","92,093","93,724","93,406","93,113","94,939",
441,Motor vehicle and parts dealers,"77,006","73,810","74,772","74,959","73,724","75,169","76,643","74,791","74,874","75,302","75,984","75,889",
"4411,4412",Automobile and other motor vehicle dealers,"70,796","67,779","68,781","68,976","67,812","69,213","70,612","68,783","68,758","69,223","69,983","69,764",
4413,"Automotive parts, acc., and tire stores","6,210","6,031","5,991","5,983","5,912","5,956","6,031","6,008","6,116","6,079","6,001","6,125",
"442,443","Furniture, home furn, electronics, and appliance stores","18,595","18,113","18,170","18,108","18,028","18,206","18,142","18,136","18,309","18,053","18,150","18,533",
442,Furniture and home furnishings stores,"9,582","9,439","9,431","9,402","9,349","9,504","9,433","9,431","9,530","9,394","9,311","9,334",
443,Electronics and appliance stores,"9,013","8,674","8,739","8,706","8,679","8,702","8,709","8,705","8,779","8,659","8,839","9,199",
44312, Computer and software stores,"1,640","1,613","1,634","1,623","1,631","1,605","1,581","1,640","1,607","1,533","1,692","1,824",
444,Building mat. and garden equip. and supplies dealers,"29,539","29,479","29,609","28,772","27,776","27,424","27,280","27,416","26,910","27,138","26,730","27,182",
4441,Building mat. and supplies dealers,"26,657","26,699","26,718","25,783","24,931","24,567","24,412","24,576","23,958","24,255","23,819","24,240",
445,Food and beverage stores,"42,849","43,374","43,224","43,272","43,657","43,738","43,828","44,122","43,795","44,633","44,489","44,804",
4451,Grocery stores,"38,411","38,889","38,866","38,891","39,242","39,333","39,411","39,666","39,316","40,084","39,909","40,229",
4453,"Beer, wine and liquor stores","2,942","3,031","2,944","2,975","2,993","2,986","2,991","2,997","3,021","3,022","3,069","3,069",
446,Health and personal care stores,"18,018","18,124","18,257","18,256","18,501","18,584","18,620","18,775","18,854","19,083","19,295","19,332",
44611,Pharmacies and drug stores,"15,272","15,405","15,537","15,631","15,736","15,911","15,969","16,124","16,145","16,431","16,550","16,671",
447,Gasoline stations,"34,298","34,214","34,126","35,752","36,126","36,127","37,030","37,731","34,900","33,076","33,357","34,895",
448,Clothing and clothing access. stores,"17,370","17,385","17,391","17,562","17,476","17,665","17,745","17,613","18,244","18,151","17,855","18,521",
4481,Clothing stores,"12,546","12,433","12,577","12,769","12,598","12,815","12,939","12,764","13,173","13,218","12,937","13,537",
44811, Men's clothing stores(4),715,717,736,699,715,716,712,731,776,783,752,773,
44812,Women's clothing stores,"3,274","3,140","3,156","3,194","3,172","3,222","3,281","3,152","3,269","3,266","3,197","3,454",
4482,Shoe stores,"2,230","2,203","2,142","2,222","2,187","2,193","2,182","2,193","2,355","2,295","2,234","2,264",
44831,Jewelry stores,"2,434","2,595","2,523","2,418","2,538","2,505","2,478","2,504","2,560","2,482","2,524","2,559",
451,"Sporting goods, hobby, book, and music stores","7,188","7,065","7,074","7,031","6,936","6,932","6,861","6,811","7,011","6,918","6,787","6,885",
452,General merchandise stores,"45,696","45,733","45,544","46,221","45,792","45,932","45,838","46,120","46,695","46,732","46,747","47,412",
4521,Department stores (excl. L.D.),"18,053","17,994","17,876","17,916","17,761","17,827","17,588","17,563","17,813","17,675","17,591","17,729",
4529,Other general merchandise stores,"27,643","27,739","27,668","28,305","28,031","28,105","28,250","28,557","28,882","29,057","29,156","29,683",
45291,Warehouse clubs and supercenters,"24,015","24,188","24,128","24,747","24,501","24,553","24,668","24,962","25,256","25,457","25,508","25,938",
45299,All other gen. merchandise stores,"3,628","3,551","3,540","3,558","3,530","3,552","3,582","3,595","3,626","3,600","3,648","3,745",
453,Miscellaneous stores retailers,"9,574","9,522","9,462","9,491","9,481","9,313","9,310","9,278","9,367","9,471","9,613","9,887",
454,Nonstore retailers,"22,662","23,068","23,799","23,345","23,786","23,705","23,741","24,120","24,070","24,190","24,360","24,260",
4541,Electronic shopping and mail order houses,"16,101","16,218","16,827","16,456","16,466","16,626","16,575","16,982","17,203","17,290","17,481","17,811",
45431,Fuel dealers,"2,507","2,913","2,978","3,054","3,230","3,240","3,248","3,294","3,082","3,097","3,031","2,628",
722,Food services and drinking places,"35,021","34,535","34,830","34,862","34,877","34,729","34,768","35,367","35,653","35,784","35,846","37,025",
,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,
(2) Includes data for leased departments operated within department stores.  Data for this line not included in any aggregate kind-of-business totals.,,,,,,,,,,,,,,
"(3) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,
"(4) With the recent Annual Revision of Monthly Retail and Food Services published on April 30, 2014, we are reinstating the previously suppressed seasonally adjusted estimates of sales ",,,,,,,,,,,,,,
for NAICS 44811 (Men_s Clothing) from January 2001 forward. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown. ,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
