Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2007,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 2007,Feb. 2007,Mar. 2007,Apr. 2007,May 2007,Jun. 2007,Jul. 2007,Aug. 2007,Sep. 2007,Oct. 2007,Nov. 2007,Dec. 2007,TOTAL
44831,Jewelry stores,"2,540","2,544","2,508","2,544","2,608","2,585","2,611","2,565","2,623","2,614","2,639","2,596",
451,"Sporting goods, hobby, book, and music stores","6,846","6,798","7,048","6,935","7,125","7,128","7,246","7,124","7,056","7,177","7,234","7,105",
452,General merchandise stores,"47,932","47,249","48,144","47,776","47,915","47,905","48,412","48,618","48,398","48,508","48,983","49,300",
4521,Department stores (excl. L.D.),"17,958","17,612","17,810","17,466","17,546","17,351","17,559","17,487","17,299","17,286","17,313","17,185",
4529,Other general merchandise stores,"29,974","29,637","30,334","30,310","30,369","30,554","30,853","31,131","31,099","31,222","31,670","32,115",
45291,Warehouse clubs and supercenters,"26,298","26,036","26,651","26,661","26,709","26,908","27,198","27,452","27,412","27,479","27,897","28,291",
45299,All other gen. merchandise stores,"3,676","3,601","3,683","3,649","3,660","3,646","3,655","3,679","3,687","3,743","3,773","3,824",
453,Miscellaneous stores retailers,"9,591","9,496","9,801","9,579","9,858","9,977","9,734","9,736","9,815","9,592","9,647","9,714",
454,Nonstore retailers,"24,369","25,546","25,135","25,393","25,269","25,421","25,836","25,705","26,016","26,204","27,083","26,444",
4541,Electronic shopping and mail order houses,"17,699","18,070","18,259","18,162","18,403","18,566","18,923","18,748","18,908","19,134","19,585","18,929",
45431,Fuel dealers,"2,724","3,541","2,902","3,271","2,961","2,858","2,929","2,951","3,130","3,126","3,476","3,450",
722,Food services and drinking places,"36,395","36,053","36,614","36,627","36,732","37,042","37,272","37,189","37,427","37,721","37,609","38,374",
,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,
(2) Includes data for leased departments operated within department stores.  Data for this line not included in any aggregate kind-of-business totals.,,,,,,,,,,,,,,
"(3) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,
"(4) With the recent Annual Revision of Monthly Retail and Food Services published on April 30, 2014, we are reinstating the previously suppressed seasonally adjusted estimates of sales ",,,,,,,,,,,,,,
for NAICS 44811 (Men_s Clothing) from January 2001 forward. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown. ,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
